Label,DEPTH,Plot,Rainfall,Interval,Sample_mass,SandMasswBag,Dryingbagmass,Drymasswbag,D_bagMasswSand,DrySandMass,TotalBagwSandMass,Date,Time,Datetime,Wmass,Dmass,Moist
1Q13,1,13,10,1,5.96,2.64,1.31,3.74,1.71,0.4,3.04,7/30/22,18:00:00,7/30/22 18:00,2.92,2.03,43.84236453
1Q12,1,12,10,1,7.16,3.33,1.31,4.2,2.05,0.74,4.07,7/30/22,18:00:00,7/30/22 18:00,3.09,2.15,43.72093023
1Q6,1,6,5,7,7.05,3.69,1.31,3.72,1.54,0.23,3.92,8/1/22,6:00:00,8/1/22 6:00,3.13,2.18,43.57798165
0Q13,0,13,10,1,4.38,2.09,1.3,3.3,1.3,0,2.09,7/30/22,18:00:00,7/30/22 18:00,2.29,2,14.5
3Q2,3,2,5,6,8.1,4.11,1.33,4.36,2.1,0.77,4.88,8/1/22,0:00:00,8/1/22 0:00,3.22,2.26,42.47787611
3Q10,3,10,5,6,7.79,4.49,1.29,3.72,1.67,0.38,4.87,8/1/22,0:00:00,8/1/22 0:00,2.92,2.05,42.43902439
1Q14,1,14,5,1,7.49,4.08,1.3,3.9,1.98,0.68,4.76,7/30/22,18:00:00,7/30/22 18:00,2.73,1.92,42.1875
1Q10,1,10,5,1,6.13,3.06,1.26,3.5,1.53,0.27,3.33,7/30/22,18:00:00,7/30/22 18:00,2.8,1.97,42.1319797
0Q7,0,7,5,1,3.7,2.01,1.27,2.77,1.27,0,2.01,7/30/22,18:00:00,7/30/22 18:00,1.69,1.5,12.66666667
1Q10,1,10,5,6,5.48,2.6,1.3,3.42,1.58,0.28,2.88,8/1/22,0:00:00,8/1/22 0:00,2.6,1.84,41.30434783
1Q12,1,12,10,2,7.57,4.28,1.3,3.75,1.71,0.41,4.69,7/31/22,0:00:00,7/31/22 0:00,2.88,2.04,41.17647059
1Q8,1,8,10,2,6.9,3.81,1.31,3.58,1.58,0.27,4.08,7/31/22,0:00:00,7/31/22 0:00,2.82,2,41
3Q13,3,13,10,5,11.33,6.63,1.28,5.05,2.77,1.49,8.12,7/31/22,18:00:00,7/31/22 18:00,3.21,2.28,40.78947368
3Q6,3,6,5,5,6.8,2.6,1.3,4.66,2.58,1.28,3.88,7/31/22,18:00:00,7/31/22 18:00,2.92,2.08,40.38461538
3Q6,3,6,5,7,6.58,2.72,1.31,4.14,1.57,0.26,2.98,8/1/22,6:00:00,8/1/22 6:00,3.6,2.57,40.07782101
1Q1,1,1,0,7,5.88,2.81,1.3,3.54,1.46,0.16,2.97,8/1/22,6:00:00,8/1/22 6:00,2.91,2.08,39.90384615
3Q8,3,8,10,1,5.67,2.54,1.3,3.62,1.59,0.29,2.83,7/30/22,18:00:00,7/30/22 18:00,2.84,2.03,39.90147783
1Q14,1,14,5,5,7.31,4.07,1.33,3.75,1.69,0.36,4.43,7/31/22,18:00:00,7/31/22 18:00,2.88,2.06,39.80582524
3Q6,3,6,5,6,6.17,2.92,1.29,3.68,1.51,0.22,3.14,8/1/22,0:00:00,8/1/22 0:00,3.03,2.17,39.63133641
3Q7,3,7,5,5,7.73,3.7,1.3,4.45,2.22,0.92,4.62,7/31/22,18:00:00,7/31/22 18:00,3.11,2.23,39.46188341
1Q3,1,3,10,1,8.75,3.95,1.31,5.1,2.54,1.23,5.18,7/30/22,18:00:00,7/30/22 18:00,3.57,2.56,39.453125
3Q3,3,3,10,3,8.96,4.51,1.24,4.87,2.79,1.55,6.06,7/31/22,6:00:00,7/31/22 6:00,2.9,2.08,39.42307692
1Q10,1,10,5,3,8.15,3.1,1.26,5.27,2.62,1.36,4.46,7/31/22,6:00:00,7/31/22 6:00,3.69,2.65,39.24528302
3Q10,3,10,5,6,5.69,2.5,1.34,3.73,1.66,0.32,2.82,8/1/22,0:00:00,8/1/22 0:00,2.87,2.07,38.647343
3Q14,3,14,5,7,6.41,3.48,1.33,3.48,1.44,0.11,3.59,8/1/22,6:00:00,8/1/22 6:00,2.82,2.04,38.23529412
1Q2,1,2,5,5,6.81,3.37,1.33,3.94,1.76,0.43,3.8,7/31/22,18:00:00,7/31/22 18:00,3.01,2.18,38.0733945
3Q3,3,3,10,2,11.22,7.14,1.3,4.37,1.7,0.4,7.54,7/31/22,0:00:00,7/31/22 0:00,3.68,2.67,37.82771536
3Q10,3,10,5,1,4.97,2.75,1.33,3.02,1.6,0.27,3.02,7/30/22,18:00:00,7/30/22 18:00,1.95,1.42,37.32394366
1Q7,1,7,5,5,7.42,4.07,1.35,3.91,1.79,0.44,4.51,7/31/22,18:00:00,7/31/22 18:00,2.91,2.12,37.26415094
0Q14,0,14,5,1,4.37,2.2,1.26,3.22,1.26,0,2.2,7/30/22,18:00:00,7/30/22 18:00,2.17,1.96,10.71428571
3Q6,3,6,5,4,7.98,4.91,1.32,3.61,1.51,0.19,5.1,7/31/22,12:00:00,7/31/22 12:00,2.88,2.1,37.14285714
3Q10,3,10,5,4,7.81,4.5,1.3,3.81,1.65,0.35,4.85,7/31/22,12:00:00,7/31/22 12:00,2.96,2.16,37.03703704
1Q14,1,14,5,6,5.55,2.48,1.32,3.62,1.5,0.18,2.66,8/1/22,0:00:00,8/1/22 0:00,2.89,2.12,36.32075472
